name,rank,count
AVILA,318,97314
WADE,319,97040
MOLINA,320,96979
STANLEY,321,96867
HOPKINS,322,96810
CAMPOS,323,96111
BARNETT,324,95681
BATES,325,95622
CHAMBERS,326,94988
CALDWELL,327,93944
BECK,328,93786
LAMBERT,329,93678
MIRANDA,330,93628
BYRD,331,92904
CRAIG,332,92507
AYALA,333,92463
LOWE,334,92260
FRAZIER,335,92152
POWERS,336,91970
NEAL,337,91694
LEONARD,338,91475
GREGORY,339,91384
CARRILLO,340,91129
SUTTON,341,90964
FLEMING,342,90677
RHODES,343,90670
SHELTON,344,90517
SCHWARTZ,345,90071
NORRIS,346,89796
JENNINGS,347,89700
WATTS,348,89649
DURAN,349,89401
WALTERS,350,89376
COHEN,351,89091
MCDANIEL,352,88728
MORAN,353,88615
PARKS,354,88586
STEELE,355,88230
VAUGHN,356,88060
BECKER,357,87859
HOLT,358,87531
DELEON,359,87414
BARKER,360,87162
TERRY,361,87000
HALE,362,86618
LEON,363,86363
HAIL,364,86240
BENSON,365,86081
HAYNES,366,85974
HORTON,367,85195
MILES,368,84942
LYONS,369,84516
PHAM,370,84320
GRAVES,371,84179
BUSH,372,84018
THORNTON,373,83967
WOLFE,374,83928
WARNER,375,83781
CABRERA,376,83621
MCKINNEY,377,83616
MANN,378,83510
ZIMMERMAN,379,83265
DAWSON,380,83182
LARA,381,83067
FLETCHER,382,83063
PAGE,383,82992
MCCARTHY,384,82950
LOVE,385,82873
ROBLES,386,82458
CERVANTES,387,82161
SOLIS,388,82146
ERICKSON,389,82085
REEVES,390,81978
CHANG,391,81939
KLEIN,392,81471
SALINAS,393,81156
FUENTES,394,81006
BALDWIN,395,80742
DANIEL,396,80526
SIMON,397,80460
VELASQUEZ,398,80364
HARDY,399,80252
HIGGINS,400,79803
AGUIRRE,401,79517
LIN,402,79508
CUMMINGS,403,79316
CHANDLER,404,79186
SHARP,405,78990
BARBER,406,78848
BOWEN,407,78822
OCHOA,408,78677
DENNIS,409,78482
ROBBINS,410,78381
LIU,411,78370
RAMSEY,412,78350
FRANCIS,413,78327
GRIFFITH,414,78260
PAUL,415,78256
BLAIR,416,78026
OCONNOR,417,77923
CARDENAS,418,77652
PACHECO,419,77642
CROSS,420,77557
CALDERON,421,77085
QUINN,422,76986
MOSS,423,76908
SWANSON,424,76897
CHAN,425,76664
RIVAS,426,76205
KHAN,427,76171
RODGERS,428,76095
SERRANO,429,75996
FITZGERALD,430,75356
ROSALES,431,75185
STEVENSON,432,75169
CHRISTENSEN,433,75143
MANNING,434,74949
GILL,435,74948
CURRY,436,74919
MCLAUGHLIN,437,74816
HARMON,438,74737
MCGEE,439,74542
GROSS,440,74503
DOYLE,441,74458
GARNER,442,74324
NEWTON,443,74092
BURGESS,444,73931
REESE,445,73919
WALTON,446,73854
BLAKE,447,73797
TRUJILLO,448,73664
ADKINS,449,73599
BRADY,450,73145
GOODMAN,451,73136
ROMAN,452,72918
WEBSTER,453,72625
GOODWIN,454,72451
FISCHER,455,72357
HUANG,456,72328
POTTER,457,72175
DELACRUZ,458,72109
MONTOYA,459,71844
TODD,460,71759
WU,461,71721
HINES,462,71717
MULLINS,463,71646
CASTANEDA,464,71368
