City,Population2010,Rank
"Wayland city, Michigan",4079,5218
"Fruitland Park city, Florida",4078,5219
"Ho-Ho-Kus borough, New Jersey",4078,5220
"Ridgway borough, Pennsylvania",4078,5221
"Lathrup Village city, Michigan",4075,5222
"Montpelier village, Ohio",4072,5223
"Argo town, Alabama",4071,5224
"Primera town, Texas",4070,5225
"Ward city, Arkansas",4067,5226
"Dexter city, Michigan",4067,5227
"Woodson Terrace city, Missouri",4063,5228
"La Verkin city, Utah",4060,5229
"Dyersville city, Iowa",4058,5230
"Le Sueur city, Minnesota",4058,5231
"Livingston town, Tennessee",4058,5232
"Pocola town, Oklahoma",4056,5233
"Boyertown borough, Pennsylvania",4055,5234
"Larned city, Kansas",4054,5235
"Danielson borough, Connecticut",4051,5236
"Gamewell town, North Carolina",4051,5237
"Dallastown borough, Pennsylvania",4049,5238
"McLoud city, Oklahoma",4044,5239
"Kittanning borough, Pennsylvania",4044,5240
"North Wildwood city, New Jersey",4041,5241
"Beaufort town, North Carolina",4039,5242
"Oaklyn borough, New Jersey",4038,5243
"Goodview city, Minnesota",4036,5244
"Ridgeland town, South Carolina",4036,5245
"Centralia city, Missouri",4027,5246
"Wonder Lake village, Illinois",4026,5247
"Cold Spring city, Minnesota",4025,5248
"Dilworth city, Minnesota",4024,5249
"Fenton city, Missouri",4022,5250
"Valley Grande city, Alabama",4020,5251
"Cedarville village, Ohio",4019,5252
"Bargersville town, Indiana",4013,5253
"Hephzibah city, Georgia",4011,5254
"Vienna city, Georgia",4011,5255
"Millstadt village, Illinois",4011,5256
"Hazlehurst city, Mississippi",4009,5257
"Chalfont borough, Pennsylvania",4009,5258
"Sinking Spring borough, Pennsylvania",4008,5259
"Kewaskum village, Wisconsin",4004,5260
"Nassau Bay city, Texas",4002,5261
"Sullivan City city, Texas",4002,5262
"San Joaquin city, California",4001,5263
"Elkin town, North Carolina",4001,5264
"Ball town, Louisiana",4000,5265
"Berne city, Indiana",3999,5266
"Greencastle borough, Pennsylvania",3996,5267
"New Lebanon village, Ohio",3995,5268
"Verdigris town, Oklahoma",3993,5269
"Lake Providence town, Louisiana",3991,5270
"Belleville city, Michigan",3991,5271
"Linden city, Michigan",3991,5272
"Booneville city, Arkansas",3990,5273
"Haskell city, Arkansas",3990,5274
"Menands village, New York",3990,5275
"Mosinee city, Wisconsin",3988,5276
"Fredericktown city, Missouri",3985,5277
"Huntingdon town, Tennessee",3985,5278
"La Joya city, Texas",3985,5279
"Westover city, West Virginia",3983,5280
"Sheffield village, Ohio",3982,5281
"Willow Park city, Texas",3982,5282
"Union Springs city, Alabama",3980,5283
"Madison city, Georgia",3979,5284
"Cozad city, Nebraska",3977,5285
"Valdez city, Alaska",3976,5286
"Montesano city, Washington",3976,5287
"Irwin borough, Pennsylvania",3973,5288
"Prairie du Sac village, Wisconsin",3972,5289
"Saugerties village, New York",3971,5290
"Oakwood city, Georgia",3970,5291
"Chester village, New York",3969,5292
"Kildeer village, Illinois",3968,5293
"St. Joseph village, Illinois",3967,5294
"Barboursville village, West Virginia",3964,5295
"Fulton city, Mississippi",3961,5296
"Eastland city, Texas",3960,5297
"South Point village, Ohio",3958,5298
"Norton city, Virginia",3958,5299
"Rocky Ford city, Colorado",3957,5300
"Dundee village, Michigan",3957,5301
"Baldwin village, Wisconsin",3957,5302
"Otsego city, Michigan",3956,5303
"Gouverneur village, New York",3949,5304
"Stilwell city, Oklahoma",3949,5305
"Rigby city, Idaho",3945,5306
"Evergreen city, Alabama",3944,5307
"Gatlinburg city, Tennessee",3944,5308
"Fairbury city, Nebraska",3942,5309
"Lansford borough, Pennsylvania",3941,5310
"Elba city, Alabama",3940,5311
"Frederick city, Oklahoma",3940,5312
"Carrollton city, Kentucky",3938,5313
"Scandia city, Minnesota",3936,5314
"Dannemora village, New York",3936,5315
"Williamston town, South Carolina",3934,5316
"Marshall city, Illinois",3933,5317
"Chilton city, Wisconsin",3933,5318
"Rose Hill city, Kansas",3931,5319
"Fortville town, Indiana",3929,5320
"Williamstown city, Kentucky",3925,5321
"Bee Cave city, Texas",3925,5322
"Bordentown city, New Jersey",3924,5323
"Wintersville village, Ohio",3924,5324
"Brookville borough, Pennsylvania",3924,5325
"Columbus city, Minnesota",3914,5326
"Spencer city, Oklahoma",3912,5327
"Laureldale borough, Pennsylvania",3911,5328
"Lambertville city, New Jersey",3906,5329
"Citronelle city, Alabama",3905,5330
"West Columbia city, Texas",3905,5331
"Emmetsburg city, Iowa",3904,5332
"Hugoton city, Kansas",3904,5333
"Bosque Farms village, New Mexico",3904,5334
"Indian River Shores town, Florida",3901,5335
"Highland Falls village, New York",3900,5336
"Sidney village, New York",3900,5337
"Vandalia city, Missouri",3899,5338
"Cisco city, Texas",3899,5339
"Pelham city, Georgia",3898,5340
"Waukon city, Iowa",3897,5341
"Owego village, New York",3896,5342
"Dewey-Humboldt town, Arizona",3894,5343
"Dilley city, Texas",3894,5344
"Madison city, Illinois",3891,5345
"Chelan city, Washington",3890,5346
"Silverthorne town, Colorado",3887,5347
"Clifton Forge town, Virginia",3884,5348
"Portland city, Michigan",3883,5349
"Fairway city, Kansas",3882,5350
"Florence city, Colorado",3881,5351
"Wallace town, North Carolina",3880,5352
"Bishop city, California",3879,5353
"Plymouth town, North Carolina",3878,5354
"Wood Village city, Oregon",3878,5355
"Millsboro town, Delaware",3877,5356
"Carlisle city, Iowa",3876,5357
"Akron borough, Pennsylvania",3876,5358
"Carroll Valley borough, Pennsylvania",3876,5359
"Ravenswood city, West Virginia",3876,5360
"Cuthbert city, Georgia",3873,5361
"Burgaw town, North Carolina",3872,5362
"Jourdanton city, Texas",3871,5363
"Belleair town, Florida",3869,5364
"Bloomfield Hills city, Michigan",3869,5365
"Cresco city, Iowa",3868,5366
"Lancaster city, Wisconsin",3868,5367
"Green Oaks village, Illinois",3866,5368
"Coquille city, Oregon",3866,5369
"Marshall village, Wisconsin",3862,5370
"Denver borough, Pennsylvania",3861,5371
"Bondurant city, Iowa",3860,5372
"Farmerville town, Louisiana",3860,5373
"Basalt town, Colorado",3857,5374
"Franklinton town, Louisiana",3857,5375
"Pilot Point city, Texas",3856,5376
"Williamston city, Michigan",3854,5377
"Mogadore village, Ohio",3853,5378
"Mary Esther city, Florida",3851,5379
"Grant-Valkaria town, Florida",3850,5380
"Quitman city, Georgia",3850,5381
"Piggott city, Arkansas",3849,5382
"Upland town, Indiana",3845,5383
"Franklin town, North Carolina",3845,5384
"Midway city, Utah",3845,5385
"Indian Head town, Maryland",3844,5386
"Pennsburg borough, Pennsylvania",3843,5387
"Jackson town, Louisiana",3842,5388
"Surfside Beach town, South Carolina",3837,5389
"Angels city, California",3836,5390
"Holmes Beach city, Florida",3836,5391
"Beloit city, Kansas",3835,5392
"Northern Cambria borough, Pennsylvania",3835,5393
"Mont Belvieu city, Texas",3835,5394
"Hyde Park city, Utah",3833,5395
"Roosevelt Park city, Michigan",3831,5396
"Lewisburg city, West Virginia",3830,5397
"Sewickley borough, Pennsylvania",3827,5398
"Shrewsbury borough, Pennsylvania",3823,5399
"Newcomerstown village, Ohio",3822,5400
"Merchantville borough, New Jersey",3821,5401
"Mulberry city, Florida",3817,5402
"Smithville city, Texas",3817,5403
"Scott City city, Kansas",3816,5404
"Vilonia city, Arkansas",3815,5405
"Wadsworth village, Illinois",3815,5406
"Crittenden city, Kentucky",3815,5407
"De Motte town, Indiana",3814,5408
"Montgomery village, New York",3814,5409
"Zelienople borough, Pennsylvania",3812,5410
"Lakewood village, Illinois",3811,5411
"Parker city, Texas",3811,5412
"South Russell village, Ohio",3810,5413
"Indian Head Park village, Illinois",3809,5414
"Shrewsbury borough, New Jersey",3809,5415
"Tea city, South Dakota",3806,5416
"Frackville borough, Pennsylvania",3805,5417
"Plainwell city, Michigan",3804,5418
"Northumberland borough, Pennsylvania",3804,5419
"Southgate city, Kentucky",3803,5420
"Crescent Springs city, Kentucky",3801,5421
"Port Vue borough, Pennsylvania",3798,5422
"Unadilla city, Georgia",3796,5423
"Monticello city, Iowa",3796,5424
"Whitesboro city, Texas",3793,5425
"Centerville city, Minnesota",3792,5426
"Oglesby city, Illinois",3791,5427
"Forsyth city, Georgia",3788,5428
"North Muskegon city, Michigan",3786,5429
"Rolesville town, North Carolina",3786,5430
"Carter Lake city, Iowa",3785,5431
"Shadyside village, Ohio",3785,5432
"Alvarado city, Texas",3785,5433
"Carrollton city, Missouri",3784,5434
"Lowell city, Michigan",3783,5435
"Hudson town, North Carolina",3776,5436
"Whitesboro village, New York",3772,5437
"Madill city, Oklahoma",3770,5438
"North Hudson village, Wisconsin",3768,5439
"Ballinger city, Texas",3767,5440
"Albia city, Iowa",3766,5441
"Le Claire city, Iowa",3765,5442
"Willcox city, Arizona",3757,5443
"Fairbury city, Illinois",3757,5444
"Hohenwald city, Tennessee",3757,5445
"Hobart city, Oklahoma",3756,5446
"Byron city, Illinois",3753,5447
"Oneida town, Tennessee",3752,5448
"Aurora city, Indiana",3750,5449
"Carthage village, New York",3747,5450
"Two Harbors city, Minnesota",3745,5451
"Millvale borough, Pennsylvania",3744,5452
"Coal Valley village, Illinois",3743,5453
"Pittsboro town, North Carolina",3743,5454
"Lafayette city, Oregon",3742,5455
"Lyons city, Kansas",3739,5456
"Kiel city, Wisconsin",3738,5457
"West Liberty city, Iowa",3736,5458
"Boyne City city, Michigan",3735,5459
"St. Charles city, Minnesota",3735,5460
"Edgewood town, New Mexico",3735,5461
"Nowata city, Oklahoma",3731,5462
"Kane borough, Pennsylvania",3730,5463
"Cayuga Heights village, New York",3729,5464
"Avalon city, California",3728,5465
"Hebron town, Indiana",3724,5466
"Carver city, Minnesota",3724,5467
"Carmel-by-the-Sea city, California",3722,5468
"Oregon city, Illinois",3721,5469
"Minerva village, Ohio",3720,5470
"Eveleth city, Minnesota",3718,5471
"Camdenton city, Missouri",3718,5472
"Dundee town, Florida",3717,5473
"Spring Valley Village city, Texas",3715,5474
"Clyde city, Texas",3713,5475
"Hot Springs city, South Dakota",3711,5476
"Nichols Hills city, Oklahoma",3710,5477
"Hesston city, Kansas",3709,5478
"Park Rapids city, Minnesota",3709,5479
"Laurel town, Delaware",3708,5480
"Ashland city, Missouri",3707,5481
"O'Neill city, Nebraska",3705,5482
"Knox city, Indiana",3704,5483
"Red Bud city, Illinois",3698,5484
"Rayville town, Louisiana",3695,5485
"Smithton village, Illinois",3693,5486
"Broadway town, Virginia",3691,5487
"Swanton village, Ohio",3690,5488
"Rochester village, Illinois",3689,5489
"Wayzata city, Minnesota",3688,5490
"Morgan city, Utah",3687,5491
"Marion city, Alabama",3686,5492
"Wilmore city, Kentucky",3686,5493
"Ozark city, Arkansas",3684,5494
"Jasper city, Georgia",3684,5495
"South Toms River borough, New Jersey",3684,5496
"Sweeny city, Texas",3684,5497
"Adel city, Iowa",3682,5498
"Wilmer city, Texas",3682,5499
"Rochester village, Wisconsin",3682,5500
"Quartzsite town, Arizona",3677,5501
"Paoli town, Indiana",3677,5502
"Northfield village, Ohio",3677,5503
"Shallotte town, North Carolina",3675,5504
"Lonsdale city, Minnesota",3674,5505
"Carey village, Ohio",3674,5506
"Perry village, New York",3673,5507
"Vivian town, Louisiana",3671,5508
"Wolfforth city, Texas",3670,5509
"Tupper Lake village, New York",3667,5510
"Oakwood village (Cuyahoga County), Ohio",3667,5511
"Mount Orab village, Ohio",3664,5512
"Sloan village, New York",3661,5513
"Riverwoods village, Illinois",3660,5514
"Peralta town, New Mexico",3660,5515
"Lloyd Harbor village, New York",3660,5516
"Mount Gilead village, Ohio",3660,5517
"Rochester borough, Pennsylvania",3657,5518
"Emerald Isle town, North Carolina",3655,5519
"Columbus city, Texas",3655,5520
"Horicon city, Wisconsin",3655,5521
"Dublin city, Texas",3654,5522
"Chattahoochee city, Florida",3652,5523
"Deer Park city, Washington",3652,5524
"High Bridge borough, New Jersey",3648,5525
"Richfield village, Ohio",3648,5526
"Gaylord city, Michigan",3645,5527
"Dixmoor village, Illinois",3644,5528
"Centerville town, Tennessee",3644,5529
"Deephaven city, Minnesota",3642,5530
"Gallipolis village, Ohio",3641,5531
"Aledo city, Illinois",3640,5532
"Eagle Lake city, Texas",3639,5533
"Metamora village, Illinois",3636,5534
"Walton city, Kentucky",3635,5535
"Dell Rapids city, South Dakota",3633,5536
"Bunker Hill Village city, Texas",3633,5537
"Unicoi town, Tennessee",3632,5538
"Windsor town, North Carolina",3630,5539
"Eastover town, North Carolina",3628,5540
"Wheatland town, Wyoming",3627,5541
"Mansfield borough, Pennsylvania",3625,5542
"Slippery Rock borough, Pennsylvania",3625,5543
"Houston city, Mississippi",3623,5544
"Black River Falls city, Wisconsin",3622,5545
"Blackstone town, Virginia",3621,5546
"Osage city, Iowa",3619,5547
"Waldron city, Arkansas",3618,5548
"Greenhills village, Ohio",3615,5549
"Gramercy town, Louisiana",3613,5550
"Golf Manor village, Ohio",3611,5551
"Stanhope borough, New Jersey",3610,5552
"Stanley city, Wisconsin",3608,5553
"Cape May city, New Jersey",3607,5554
"Bamberg town, South Carolina",3607,5555
"Chipley city, Florida",3605,5556
"Paulding village, Ohio",3605,5557
"Leo-Cedarville town, Indiana",3603,5558
"Cotulla city, Texas",3603,5559
"Spencerport village, New York",3601,5560
"Sleepy Eye city, Minnesota",3599,5561
"Nome city, Alaska",3598,5562
"Melrose city, Minnesota",3598,5563
"Hainesville village, Illinois",3597,5564
"Imlay City city, Michigan",3597,5565
"Honea Path town, South Carolina",3597,5566
"Romeo village, Michigan",3596,5567
"Palmyra city, Missouri",3595,5568
"Pen Argyl borough, Pennsylvania",3595,5569
"Addis town, Louisiana",3593,5570
"El Dorado Springs city, Missouri",3593,5571
"Parkesburg borough, Pennsylvania",3593,5572
"Odenville town, Alabama",3585,5573
"Amberley village, Ohio",3585,5574
"Union City city, Indiana",3584,5575
"Pawhuska city, Oklahoma",3584,5576
"Aumsville city, Oregon",3584,5577
"Eagle Grove city, Iowa",3583,5578
"Elizabethtown town, North Carolina",3583,5579
"Camden city, Tennessee",3582,5580
"Hicksville village, Ohio",3581,5581
"Canton city, Texas",3581,5582
"Ringgold city, Georgia",3580,5583
"Hallsville city, Texas",3577,5584
"Gothenburg city, Nebraska",3574,5585
"North East town, Maryland",3572,5586
"Sunset Beach town, North Carolina",3572,5587
"Summersville city, West Virginia",3572,5588
"New Hampton city, Iowa",3571,5589
"Mora city, Minnesota",3571,5590
"Glennville city, Georgia",3569,5591
"Gooding city, Idaho",3567,5592
"Harrisburg city, Oregon",3567,5593
"Hominy city, Oklahoma",3565,5594
"Saluda town, South Carolina",3565,5595
"China Grove town, North Carolina",3563,5596
"Harrington city, Delaware",3562,5597
"Le Roy city, Illinois",3560,5598
"Teague city, Texas",3560,5599
"Lutcher town, Louisiana",3559,5600
"Broken Bow city, Nebraska",3559,5601
"Riverdale borough, New Jersey",3559,5602
"Stanley town, North Carolina",3556,5603
"Tutwiler town, Mississippi",3550,5604
"Winnsboro town, South Carolina",3550,5605
"Norwood Young America city, Minnesota",3549,5606
"Gosnell city, Arkansas",3548,5607
"Hiram city, Georgia",3546,5608
"Hanover town, Indiana",3546,5609
"Taylor Lake Village city, Texas",3544,5610
"Johnston City city, Illinois",3543,5611
"St. Anthony city, Idaho",3542,5612
"Colonial Beach town, Virginia",3542,5613
"Wellsville village, Ohio",3541,5614
"Mifflinburg borough, Pennsylvania",3540,5615
"Highland Beach town, Florida",3539,5616
"Bloomer city, Wisconsin",3539,5617
"Pulaski village, Wisconsin",3539,5618
"Denmark city, South Carolina",3538,5619
"Cross Plains village, Wisconsin",3538,5620
"Palmyra village, New York",3536,5621
"Paw Paw village, Michigan",3534,5622
"Ohioville borough, Pennsylvania",3533,5623
"Paris city, Arkansas",3532,5624
"Forks city, Washington",3532,5625
"Newcastle city, Wyoming",3532,5626
"Freeland borough, Pennsylvania",3531,5627
"Lansing village, New York",3529,5628
"Lowell city, North Carolina",3526,5629
"Yuma city, Colorado",3524,5630
"Wills Point city, Texas",3524,5631
"South Glens Falls village, New York",3518,5632
"Omro city, Wisconsin",3517,5633
"Ferriday town, Louisiana",3511,5634
"South Nyack village, New York",3510,5635
"Richwood city, Texas",3510,5636
"Cedar Springs city, Michigan",3509,5637
"Trappe borough, Pennsylvania",3509,5638
"Hardin city, Montana",3505,5639
"Woodstown borough, New Jersey",3505,5640
"Independence city, Minnesota",3504,5641
"Peshtigo city, Wisconsin",3502,5642
"Hoosick Falls village, New York",3501,5643
"Mission Hills city, Kansas",3498,5644
"Corunna city, Michigan",3497,5645
"Muttontown village, New York",3497,5646
"Algood city, Tennessee",3495,5647
"Ovilla city, Texas",3492,5648
"Wingate town, North Carolina",3491,5649
"Forsyth village, Illinois",3490,5650
"Etowah city, Tennessee",3490,5651
"Centre city, Alabama",3489,5652
"Jewett City borough, Connecticut",3487,5653
"Stanford city, Kentucky",3487,5654
"Yellow Springs village, Ohio",3487,5655
"Livingston city, Alabama",3485,5656
"Frontenac city, Missouri",3482,5657
"Allendale town, South Carolina",3482,5658
"Fulton city, Illinois",3481,5659
"Heflin city, Alabama",3480,5660
"St. Johns city, Arizona",3480,5661
"Port Aransas city, Texas",3480,5662
"Medina city, Tennessee",3479,5663
"Essexville city, Michigan",3478,5664
"West Point city, Georgia",3474,5665
"Georgetown city, Illinois",3474,5666
"Warsaw village, New York",3473,5667
"Moulton city, Alabama",3471,5668
"Bayport city, Minnesota",3471,5669
"Bishopville city, South Carolina",3471,5670
"Lowville village, New York",3470,5671
"Herculaneum city, Missouri",3468,5672
"Alma city, Georgia",3466,5673
"Muldrow town, Oklahoma",3466,5674
"Brookville village, New York",3465,5675
"Toledo city, Oregon",3465,5676
"Mobridge city, South Dakota",3465,5677
"Camden town, Delaware",3464,5678
"Morton city, Mississippi",3462,5679
"Mills town, Wyoming",3461,5680
"Montezuma city, Georgia",3460,5681
"Ely city, Minnesota",3460,5682
"Auburn city, Nebraska",3460,5683
"Mayfield village, Ohio",3460,5684
"Paintsville city, Kentucky",3459,5685
"Lindsborg city, Kansas",3458,5686
"Long Prairie city, Minnesota",3458,5687
"Wheatland city, California",3456,5688
"Umatilla city, Florida",3456,5689
"Riverton village, Illinois",3455,5690
"Haughton town, Louisiana",3454,5691
"Mingo Junction village, Ohio",3454,5692
"Etna borough, Pennsylvania",3451,5693
"Seymour city, Wisconsin",3451,5694
"Masontown borough, Pennsylvania",3450,5695
"Altavista town, Virginia",3450,5696
"Minoa village, New York",3449,5697
"Lockland village, Ohio",3449,5698
"Tolono village, Illinois",3447,5699
"Durand city, Michigan",3446,5700
"Sharpsburg borough, Pennsylvania",3446,5701
"Port St. Joe city, Florida",3445,5702
"Blackshear city, Georgia",3445,5703
"West Orange city, Texas",3443,5704
"Lancaster city, Kentucky",3442,5705
"Clifton city, Texas",3442,5706
"Myrtle Creek city, Oregon",3439,5707
"Germantown Hills village, Illinois",3438,5708
"Frontenac city, Kansas",3437,5709
"Oxford village, Michigan",3436,5710
"Delta city, Utah",3436,5711
"West Liberty city, Kentucky",3435,5712
"Newport city, Minnesota",3435,5713
"Ranlo town, North Carolina",3434,5714
"Winnsboro city, Texas",3434,5715
"North Baltimore village, Ohio",3432,5716
"Dewey city, Oklahoma",3432,5717
"Wellsville city, Utah",3432,5718
"Story City city, Iowa",3431,5719
"Red Oak town, North Carolina",3430,5720
"Wewoka city, Oklahoma",3430,5721
"Galena city, Illinois",3429,5722
"Red Springs town, North Carolina",3428,5723
"Virden city, Illinois",3425,5724
"Lebanon town, Virginia",3424,5725
"Barron city, Wisconsin",3423,5726
"Lake Park village, North Carolina",3422,5727
"Middlebury town, Indiana",3420,5728
"Maize city, Kansas",3420,5729
"Polk City city, Iowa",3418,5730
"Horseshoe Bay city, Texas",3418,5731
"Lordstown village, Ohio",3417,5732
"Garnett city, Kansas",3415,5733
"Ocilla city, Georgia",3414,5734
"Heavener city, Oklahoma",3414,5735
"Ladysmith city, Wisconsin",3414,5736
"Wilkesboro town, North Carolina",3413,5737
"Blairsville borough, Pennsylvania",3412,5738
"Cleveland city, Georgia",3410,5739
"Sauk City village, Wisconsin",3410,5740
"Beaver Dam city, Kentucky",3409,5741
"Gibson City city, Illinois",3407,5742
"Goldendale city, Washington",3407,5743
"Mead town, Colorado",3405,5744
"Springdale borough, Pennsylvania",3405,5745
"Reminderville village, Ohio",3404,5746
"Mariemont village, Ohio",3403,5747
"Mount Oliver borough, Pennsylvania",3403,5748
"Jena town, Louisiana",3398,5749
"Tomahawk city, Wisconsin",3397,5750
"Mount Shasta city, California",3394,5751
"Avon village, New York",3394,5752
"Richwood town, Louisiana",3392,5753
"Water Valley city, Mississippi",3392,5754
"Breckenridge city, Minnesota",3386,5755
"Haworth borough, New Jersey",3382,5756
"Jamestown town, North Carolina",3382,5757
"Russell city, Kentucky",3380,5758
"Corning city, Arkansas",3377,5759
"Lake Clarke Shores town, Florida",3376,5760
"Shelby city, Montana",3376,5761
"Fort Edward village, New York",3375,5762
"Polkton town, North Carolina",3375,5763
"Blanding city, Utah",3375,5764
"Newton city, Mississippi",3373,5765
"Rio Dell city, California",3368,5766
"Spearman city, Texas",3368,5767
"Athens borough, Pennsylvania",3367,5768
"Lakeland city, Georgia",3366,5769
"Louisiana city, Missouri",3364,5770
"West Point city, Nebraska",3364,5771
"Granite Falls city, Washington",3364,5772
"Carefree town, Arizona",3363,5773
"Greensboro city, Georgia",3359,5774
"Louisburg town, North Carolina",3359,5775
"Cuba city, Missouri",3356,5776
"Johnson city, Arkansas",3354,5777
"Rock Valley city, Iowa",3354,5778
"Blue Earth city, Minnesota",3353,5779
"Cadiz village, Ohio",3353,5780
"Milbank city, South Dakota",3353,5781
"Crane city, Texas",3353,5782
"Ebensburg borough, Pennsylvania",3351,5783
"New Baden village, Illinois",3349,5784
"Nesquehoning borough, Pennsylvania",3349,5785
"Tuckerton borough, New Jersey",3347,5786
"Merton village, Wisconsin",3346,5787
"Sugar Creek city, Missouri",3345,5788
"Manila city, Arkansas",3342,5789
"Monte Sereno city, California",3341,5790
"Wesleyville borough, Pennsylvania",3341,5791
"Blissfield village, Michigan",3340,5792
"Plainview city, Minnesota",3340,5793
"Boonsboro town, Maryland",3336,5794
"Islandia village, New York",3335,5795
"Checotah city, Oklahoma",3335,5796
"Waterloo city, Wisconsin",3333,5797
"South Jacksonville village, Illinois",3331,5798
"Ingram borough, Pennsylvania",3330,5799
"Holton city, Kansas",3329,5800
"Kingstree town, South Carolina",3328,5801
"Combined Locks village, Wisconsin",3328,5802
"New York Mills village, New York",3327,5803
"Newburgh town, Indiana",3325,5804
"Fairview town, North Carolina",3324,5805
"Orange village, Ohio",3323,5806
"Spring City borough, Pennsylvania",3323,5807
"Haskell city, Texas",3322,5808
"Moreland Hills village, Ohio",3320,5809
"Union City borough, Pennsylvania",3320,5810
"Abingdon city, Illinois",3319,5811
"Gillespie city, Illinois",3319,5812
"Middleville village, Michigan",3319,5813
"Huxley city, Iowa",3317,5814
"St. Augusta city, Minnesota",3317,5815
"Newbern town, Tennessee",3313,5816
"Columbus city, Kansas",3312,5817
"Clifton town, Arizona",3311,5818
"Benson town, North Carolina",3311,5819
"Momence city, Illinois",3310,5820
"Maiden town, North Carolina",3310,5821
"Moxee city, Washington",3308,5822
"Senoia city, Georgia",3307,5823
"West Point town, Virginia",3306,5824
"Sleepy Hollow village, Illinois",3304,5825
"Pagedale city, Missouri",3304,5826
"Havana city, Illinois",3301,5827
"Farmersville city, Texas",3301,5828
"Jackson city, Minnesota",3299,5829
"Baldwyn city, Mississippi",3297,5830
"Prescott city, Arkansas",3296,5831
"Kenedy city, Texas",3296,5832
"Marysville city, Kansas",3294,5833
"Woodlawn village, Ohio",3294,5834
"Pitcairn borough, Pennsylvania",3294,5835
"Brodhead city, Wisconsin",3293,5836
"DeWitt city, Arkansas",3292,5837
"Bethany city, Missouri",3292,5838
"Homer village, New York",3291,5839
"Princess Anne town, Maryland",3290,5840
"Hatfield borough, Pennsylvania",3290,5841
"Ossian town, Indiana",3289,5842
"Rockwood city, Michigan",3289,5843
"Lincoln Heights village, Ohio",3286,5844
"Mount Angel city, Oregon",3286,5845
"Wise town, Virginia",3286,5846
"Morganfield city, Kentucky",3285,5847
"Clarksville city, Texas",3285,5848
"Olney city, Texas",3285,5849
"Gunnison city, Utah",3285,5850
"Ellsworth village, Wisconsin",3284,5851
"Argyle city, Texas",3282,5852
"Carlyle city, Illinois",3281,5853
"Baldwin city, Georgia",3279,5854
"Monmouth Beach borough, New Jersey",3279,5855
"Jasper town, Tennessee",3279,5856
"Waverly city, Nebraska",3277,5857
"Hamburg borough, New Jersey",3277,5858
"Gray city, Georgia",3276,5859
"Manti city, Utah",3276,5860
"Pine Lawn city, Missouri",3275,5861
"El Cenizo city, Texas",3273,5862
"Kitty Hawk town, North Carolina",3272,5863
"Wildwood Crest borough, New Jersey",3270,5864
"Liberty city, South Carolina",3269,5865
"Ravena village, New York",3268,5866
"Spencer town, North Carolina",3267,5867
"Nyssa city, Oregon",3267,5868
"Cassville city, Missouri",3266,5869
"Kimberly city, Idaho",3264,5870
"Pine Island city, Minnesota",3263,5871
"McDonald village, Ohio",3263,5872
"Centerville borough (Washington County), Pennsylvania",3263,5873
"Wellsboro borough, Pennsylvania",3263,5874
"Tipton city, Missouri",3262,5875
"Brackenridge borough, Pennsylvania",3260,5876
"Poteet city, Texas",3260,5877
"Mount Pleasant city, Utah",3260,5878
"Garden Ridge city, Texas",3259,5879
"Nashville city, Illinois",3258,5880
"Prestonsburg city, Kentucky",3255,5881
"Zumbrota city, Minnesota",3252,5882
"Ripley city, West Virginia",3252,5883
"Cleveland city, Oklahoma",3251,5884
"Glasgow city, Montana",3250,5885
"Holts Summit city, Missouri",3247,5886
"Hickory Creek town, Texas",3247,5887
"Orchard Park village, New York",3246,5888
"Justin city, Texas",3246,5889
"Granger city, Washington",3246,5890
"Attica city, Indiana",3245,5891
"Milan village, New Mexico",3245,5892
"Lyman town, South Carolina",3243,5893
"Mamou town, Louisiana",3242,5894
"Carrollton village, Ohio",3241,5895
"West Union village, Ohio",3241,5896
"Benson city, Minnesota",3240,5897
"Manor borough, Pennsylvania",3239,5898
"Upland borough, Pennsylvania",3239,5899
"Homer town, Louisiana",3237,5900
"New Holstein city, Wisconsin",3236,5901
"DeQuincy city, Louisiana",3235,5902
"Thiensville village, Wisconsin",3235,5903
"South Blooming Grove village, New York",3234,5904
"Cleves village, Ohio",3234,5905
"Netcong borough, New Jersey",3232,5906
"Llano city, Texas",3232,5907
"Oliver Springs town, Tennessee",3231,5908
"Boscobel city, Wisconsin",3231,5909
"Dadeville city, Alabama",3230,5910
"North Wales borough, Pennsylvania",3229,5911
"Annandale city, Minnesota",3228,5912
"Portageville city, Missouri",3228,5913
"Welsh town, Louisiana",3226,5914
"Westfield village, New York",3224,5915
"Okemah city, Oklahoma",3223,5916
"Tipton city, Iowa",3221,5917
"Boardman city, Oregon",3220,5918
"Greenwood town, Louisiana",3219,5919
"Tonkawa city, Oklahoma",3216,5920
"Kenova city, West Virginia",3216,5921
"Vinton town, Louisiana",3212,5922
"Hodgenville city, Kentucky",3206,5923
"White Bluff town, Tennessee",3206,5924
"Oakridge city, Oregon",3205,5925
"Westville village, Illinois",3202,5926
"Kotzebue city, Alaska",3201,5927
"Deer Park village, Illinois",3200,5928
"Hinton town, Oklahoma",3196,5929
"Lillington town, North Carolina",3194,5930
"Providence city, Kentucky",3193,5931
"Rushville city, Illinois",3192,5932
"Coplay borough, Pennsylvania",3192,5933
"Williamson city, West Virginia",3191,5934
"Troy town, North Carolina",3189,5935
"Brinkley city, Arkansas",3188,5936
"Howards Grove village, Wisconsin",3188,5937
"Madison village, Ohio",3184,5938
"Duncan town, South Carolina",3181,5939
